사업장명칭,주사육업종,사업장소재지(도로명),사육두수
대겸농장,한우,경상남도 진주시 문산읍 갈곡길 45,11
월암축산,한우,,17
용수축산,한우,,13
청원축산,한우,경상남도 진주시 지수면 청원길 170,20
수성농장,한우,,13
우성농장,한우,경상남도 진주시 문산읍 문산로 874-35,86
교동축산,한우,경상남도 진주시 사봉면 동부로1903번길 14-5,16
천일목장,한우,경상남도 진주시 일반성면 떡보길20번길 65,24
박승구농장,한우,경상남도 진주시 내동면 산유로456번길 44-12,7
버드실농장,한우,,30
영희목장,한우,,9
필영사농장,한우,경상남도 진주시 미천면 향양로365번길 15-14,19
평동축산,한우,,14
중촌축산,한우,,17
한우농장,한우,경상남도 진주시 이반성면 오봉산로879번길 15-18,70
광석농장,한우,경상남도 진주시 대곡면 진의로 1149-42,13
대곡농장,한우,,0
상남농장,한우,경상남도 진주시 일반성면 수목원로 60,25
임곡선미농장,한우,경상남도 진주시 미천면 안간길70번길 8,17
내인농장,한우,경상남도 진주시 미천면 진산로 1849-2,3
만복농장,한우,경상남도 진주시 일반성면 창촌길45번길 67,28
현장농장,한우,경상남도 진주시 미천면 향양로365번길 15-6,4
진기농장,한우,경상남도 진주시 일반성면 떡보길 59,21
봉형농장,한우,경상남도 진주시 일반성면 운천길202번길 86,4
명선농장,한우,경상남도 진주시 문산읍 이곡길 74-17,0
송죽농장,한우,경상남도 진주시 이반성면 오봉산로1025번길 74,70
어옥농장,한우,경상남도 진주시 미천면 어옥로 179-2,8
미곡농장,한우,,7
수야농장,한우,,7
우미농장,한우,경상남도 진주시 일반성면 반성로 18,36
가나골 농장,한우,,20
성완농장,한우,경상남도 진주시 일반성면 일사로 414-2,33
종욱농장,한우,경상남도 진주시 일반성면 일사로 316,12
송정목장,한우,경상남도 진주시 문산읍 문산로 587-16,120
광석참한우,한우,,45
임마누엘농장,한우,경상남도 진주시 정촌면 무선산로 122,9
사곡농장,한우,경상남도 진주시 사봉면 사군로103번길 34,16
효선농장,한우,경상남도 진주시 문산읍 갈곡길 143-21,35
상미농장,한우,,40
제이제이농장,한우,경상남도 진주시 일반성면 남산길 1,23
신기농장,한우,,3
금강농장,한우,,21
대동축사,한우,경상남도 진주시 이반성면 대천길152번길 9,5
도장농장,한우,경상남도 진주시 일반성면 떡보길110번길 26-9,12
두식농장,한우,경상남도 진주시 일반성면 공치고개길 29,12
황기우축사,한우,경상남도 진주시 일반성면 수목원로277번길 13,11
영춘농장,한우,경상남도 진주시 이반성면 대천길 141-12,12
길성농장,한우,경상남도 진주시 이반성면 길성길 143,5
정만축사,한우,경상남도 진주시 이반성면 길성길 63,8
상문농장,한우,경상남도 진주시 문산읍 동부로839번길 25-27,17
제이농장,한우,경상남도 진주시 금곡면 금곡로 36,18
병원농장,한우,경상남도 진주시 금곡면 무선산로464번길 42-33,2
온수농장,한우,경상남도 진주시 진성면 일사로693번길 49,44
배밭골농장,한우,경상남도 진주시 진성면 진의로94번길 43-60,50
유동농장,한우,경상남도 진주시 내동면 내축로467번길 33,6
유곡한우농장,한우,경상남도 진주시 대곡면 남강로 2366-42,5
창진농장,한우,경상남도 진주시 이반성면 용암길46번길 43,41
정촌농장,한우,경상남도 진주시 정촌면 화개길318번길 28,37
농업회사법인(주) 태원2농장,돼지,경상남도 진주시 수곡면 옥수로471번길 107,7500
경남로하스,종계/산란계,경상남도 진주시 수곡면 대각길 104-16,700
일송,한우,,40
금포농장,종계/산란계,"경상남도 진주시 지수면 금평로 244-71, 금평로 244-63",199320
시온농장,한우,,13
호용농장,한우,,8
다무농장,한우,경상남도 진주시 사봉면 동부로 1919-27,25
가선농장,돼지,,1714
개암농장,한우,,60
연우농장,한우,경상남도 진주시 사봉면 지사로 152,8
정중농장,한우,경상남도 진주시 이반성면 진마대로2498번길 2-41,15
한빛농장,오리,,20000
진주농장,오리,,23000
행복한한우농장,한우,경상남도 진주시 일반성면 일사로 269,18
평동농장,한우,경상남도 진주시 이반성면 진마대로2520번길 8,18
청호농장,한우,경상남도 진주시 일반성면 일사로 315-41,50
주약농장,한우,,6
비사벌농장,돼지,경상남도 진주시 수곡면 시묘산길117번길 24,500
광제농원,한우,경상남도 진주시 명석면 광제산로 779-45,4
구태맑은농장,오리,,22500
약골축산,한우,,4
구태제일농장,오리,경상남도 진주시 수곡면 시묘산길 200-46,16000
용완농축원,한우,,12
부계농장,육계,경상남도 진주시 사봉면 사군로 677-60,60000
대흥농원,육계,경상남도 진주시 진성면 동부로1548번길 60-12,700
대진농장,한우,경상남도 진주시 대곡면 유곡로 270,3
대동농장,한우,경상남도 진주시 이반성면 대천길 155-5,5
등건농장,한우,경상남도 진주시 사봉면 지사로241번길 13,17
병열농장,한우,,5
그린농장,한우,경상남도 진주시 진성면 일사로487번길 15-32,0
성봉농장,한우,경상남도 진주시 진성면 온수길 100,17
채영축산,한우,경상남도 진주시 일반성면 남산길 32-83,50
대성축산,한우,경상남도 진주시 이반성면 부평길 186-27,80
시구농장,한우,,22
한광수농장,한우,경상남도 진주시 금곡면 무선산로464번길 42-2,0
정원목장,한우,경상남도 진주시 내동면 신율길 30-134,12
성완농장2,한우,경상남도 진주시 진성면 대사길19번길 69-64,61
수목원농장,한우,경상남도 진주시 일반성면 수목원로47번길 442,17
원당농장,한우,,14
수목원농장2,한우,경상남도 진주시 일반성면 수목원로277번길 4-30,0
정섭농장,한우,경상남도 진주시 명석면 남성로 30-15,28
대연농산,육계,경상남도 진주시 대신로 476-19 (초전동),400
진주자연유정란,종계/산란계,경상남도 진주시 진성면 온수길 92-12,1000
약골농장,한우,경상남도 진주시 주약약골길 72 (주약동),12
재원농장,한우,경상남도 진주시 주약약골길 63 (주약동),8
우리목장,한우,경상남도 진주시 일반성면 남산길 49,19
와룡농장,한우,경상남도 진주시 대곡면 대화로105번길 95-24,14
성호농장,한우,경상남도 진주시 대곡면 유곡로183번길 16,4
승우농장,한우,경상남도 진주시 이반성면 반성로 66-17,62
금당골 농장,한우,경상남도 진주시 금산면 월아산로 1296-155,186
숲등농장,한우,경상남도 진주시 대곡면 대화로105번길 64-9,12
효원목장,한우,경상남도 진주시 진성면 일사로 589-22,0
가진농장,한우,경상남도 진주시 진성면 진의로 142-29,63
장수 흑염소,산양,경상남도 진주시 진성면 온수길 103-6,95
용봉 사슴농장,사슴,경상남도 진주시 지수면 용봉로292번길 135,10
월아산 방목장,산양,,126
대성2농장,한우,,10
송정농장,한우,경상남도 진주시 지수면 지사로754번길 27-46,10
소망농장,한우,,11
영림농장,한우,경상남도 진주시 이반성면 길성길 77-7,15
형제농장,한우,,8
해은목장,한우,,11
주영농원,한우,경상남도 진주시 진성면 진성로 158-116,50
부경농원,산양,경상남도 진주시 진성면 진성로 158-108,150
우일농장,산양,,10
토현농장,산양,,30
대봉사슴농장,사슴,,100
소정농장,한우,,10
언호농장,한우,,17
재문농장,한우,경상남도 진주시 진성면 대사길 30-16,4
판수농장,한우,경상남도 진주시 진성면 일사로 662,2
두훈농장,한우,경상남도 진주시 진성면 일사로 668,5
덕석농장,한우,경상남도 진주시 진성면 천곡길 27,3
석이농장,한우,경상남도 진주시 진성면 대사길 63-2,10
문석농장,한우,경상남도 진주시 진성면 대사길 29-14,8
허브로운목장,한우,경상남도 진주시 진성면 일사로487번길 15-12,10
병운농장,한우,경상남도 진주시 진성면 동부로1391번길 26,5
오리골농장,한우,경상남도 진주시 이반성면 대천길70번길 14,13
저운농장,한우,경상남도 진주시 이반성면 오봉산로761번길 95,10
남종농장,한우,경상남도 진주시 지수면 청담길16번길 2-10,3
성철농장,한우,경상남도 진주시 지수면 청담길38번길 28,3
희섭농장,한우,,5
찬수농장,한우,경상남도 진주시 지수면 청담길38번길 33-1,4
점태농장,한우,경상남도 진주시 지수면 지수로642번길 24-3,2
호근농장,한우,경상남도 진주시 지수면 청담길175번길 34-8,10
진기농장,한우,경상남도 진주시 지수면 청담길 195-13,2
승조농장,한우,경상남도 진주시 지수면 청담길 195-9,0
지수사슴농장,사슴,경상남도 진주시 지수면 금평로 346,25
고영찬농장,한우,경상남도 진주시 이반성면 대천길149번길 14-2,9
수성농장,한우,,3
그린농장,한우,경상남도 진주시 이반성면 오봉산로 455,30
용찬농장,한우,경상남도 진주시 지수면 금평로309번길 23-6,9
해동농장,한우,경상남도 진주시 지수면 금평로 262-5,2
명옥농장,한우,,4
대명농장,사슴,경상남도 진주시 지수면 지수로 276,89
길한농장,한우,경상남도 진주시 지수면 청원길 109-1,1
문환농장,한우,경상남도 진주시 지수면 청원길57번길 36,8
